รายวิชาเพิ่มเติม ม.2  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,อังคาร,,พุธ,,พฤหัสบดี,,ศุกร์,
ศ20202,ปฏิบัติการวงโยธวาทิต ม.ต้น 2,1,2,"การปฏิบัติเครื่องดนตรีที่ใช้ในวงโยธวาทิต ประวัติของ
เครื่องดนตรี การจำแนกประเภท และ การบรรเลงเบื้องต้น 
เพื่อให้ผู้เรียนสามารถอ่านโน้ตและปฏิบัติเครื่องดนตรีได้จริง",อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิต
ที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
ศ20212,ปฏิบัติการวงโยธวาทิต ม.ต้น 4,,,,อ.สุปัฏฐ์,1,10,,,,,,✔,✔,,
ศ20214,ปฏิบัติการวงโยธวาทิต ม.ต้น 6,,,,อ.สุปัฏฐ์,1,10,,,,,,✔,✔,,
ศ20220,ศิลป์สร้างสรรค์ผ่านสีอะคริลิค,1,2,"การสร้างสรรค์งานทัศนศิลป์ด้วยเทคนิคสีอะคริลิค เรียนรู้
คุณสมบัติและวิธีการใช้สื่อสีอะคริลิคอย่างมีประสิทธิภาพ พร้อมทั้งเรียนรู้แนวคิดและแรงบันดาลใจจากผลงานศิลปะต้นแบบ เพื่อนำมาวิเคราะห์และพัฒนาสู่ผลงานของตนเอง",อ.วนาลี,1,7,"มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท",,,,,✔,✔,,
ศ20218,"ศิลปะไทยสร้างสรรค์และ
การออกแบบ",1,2,"ศึกษา เรียนรู้ ประวัติความเป็นมาของศิลปะไทย ฝึกปฏิบัติงานตามหมวดหมู่ลายไทย ได้แก่ หมวดกระหนก หมวดนารี 
หมวดกระบี่ หมวดคชะ ทั้งในรูปแบบดั้งเดิม และสร้างสรรค์ พร้อมฝึกการประยุกต์ใช้อย่างร่วมสมัย เพื่อให้มีความรู้และเห็นคุณค่าของศิลปะไทย และสามารถนำศิลปะไทยมาใช้ปฏิบัติการ
ในงานศิลปะประเภทต่าง ๆ บนฐานความคิดสร้างสรรค์ได้",อ.อัฐพล,1,7,,,,,,✔,✔,,
ศ20208,ทักษะการเต้นบัลเลต์พื้นฐาน 2,1,2,"ฝึกทักษะพื้นฐานในการเต้นบัลเลต์คลาสสิคและการเต้นร่วมสมัยเบื้องต้น (Modern ballet) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทางบัลเลต์และพื้นฐานการเต้นบัลเลต์ซึ่งเป็น
พื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่น ๆ","อ.ธนิฎฐา / 
อ.ปณิตา",1,7,"นักเรียนควรมีประสบการณ์การเรียน
บัลเลต์
อย่างน้อย
ไม่ต่ำกว่า 5 ปี",,,,,✔,✔,,
"กลุ่มสาระการการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ22264,เทคบอลพื้นฐาน,1,2,นำกีฬาเทคมาประยุกต์เป็นกิจกรรมทางพลศึกษา เพื่อให้นักเรียนที่เข้าร่วมกิจกรรมเกิดความสนุกสนาน มีทัศนคติที่ดีในการออกกำลังกาย และผู้เรียนยังได้ศึกษาและอนุรักษ์กีฬาไทยไปพร้อมกับกิจกรรมการเคลื่อนไหวตามหลักการพลศึกษา,อ.ธนวิทย์,1,18,,,,,,,,✔,✔
พ22236,ว่ายน้ำขั้นสูง 1,1,2,"เรียนรู้ทักษะการลอยตัว การเคลื่อนไหวในน้ำ การว่ายน้ำ
ในท่าต่าง ๆ เรียนรู้เทคนิคและการว่ายน้ำในขั้นสูง รวมทั้งรู้วิธีการฝึกทักษะขั้นสูงแบบต่าง ๆ ตามลำดับขั้น ตลอดจนสามารถแนะนำผู้อื่นและนำไปใช้ในการออกกำลังกายได้อย่างเป็นประจำสม่ำเสมอ",อ.ดร.ธานินทร์,1,10,,,,,,,,✔,✔
พ22237,เทเบิลเทนนิสขั้นสูง,1,2,"เรียนรู้ทักษะการเล่นกีฬาเทเบิลเทนนิสขั้นสูงต่างๆ ท่าทาง
การตี วิธีการตบ การตัด การหยอดลูก ตลอดจนเทคนิค ใน
การเล่น เพื่อใช้ในการแข่งขันต่อไป",อ.ดร.ชญาภัสร์,1,25,,,,✔,✔,,,,
,,,,,อ.ทรงพล,2,25,,✔,✔,,,,,,
พ22246,แฮนด์บอลเพื่อพัฒนาตนเอง2,1,2,มุ่งเน้นการใช้กิจกรรมกีฬาแฮนด์บอลเป็นสื่อการเรียนการสอนเพื่อให้นักเรียนมีการพัฒนาสมรรถภาพทางกลไกที่สำคัญกับการเล่นกีฬา รวมทั้งการพัฒนากระบวนการคิด การมีความรู้ความสามารถในการแก้ปัญหา เคารพกฎ กติกา การมีระเบียบวินัย และสามารถนำทักษะที่ได้เรียนรู้ไปประยุกต์ใช้ในการพัฒนาสุขภาพตนเองได้ในชีวิตประจำวัน,อ.ดร.ฐิติวัสส์,1,25,,,,✔,✔,,,,
พ22253,รูปแบบการเล่นฟุตบอล,1,2,"การเรียนรู้เกี่ยวกับรูปแบบการเล่นฟุตบอล ประกอบไปด้วยแผนการเล่นฟุตบอล การเล่นเกมรุก การเล่นเกมรับ 
การสร้างสรรค์เกมจากแดนตนเอง และการสื่อสารกันภายในทีมที่อาศัยทักษะ ความสามารถในการเล่นฟุตบอลที่เคยเรียนรู้
มาต่อยอด โดยใช้การฝึกในรูปแบบต่าง ๆ เพื่อการเล่นฟุตบอลที่ดี มีความรู้ความเข้าใจและเห็นคุณค่า สมรรถภาพทางกายที่ดี ตลอดจนสามารถนำไปใช้เป็นประโยชน์ในอนาคตต่อไป",อ.พชรพล,1,25,,,,✔,✔,,,,
พ22263,รอบรู้โอลิมปิก,1,2,"เป็นการศึกษาในเนื้อหาที่เกี่ยวกับยุทธศาสตร์โอลิมปิกและอุดมการณ์โอลิมปิกเป็นการหลอมรวมกีฬากับวัฒนธรรมที่ส่งเสริมการพัฒนาคุณภาพชีวิตของมนุษย์ทั้งทางร่างกาย จิตใจและจิตวิญญาณ ของโอลิมปิก  3  ประการ นั่นคือความ
ยอดเยี่ยมมิตรภาพและการเคารพให้เกียรติซึ่งกันและกันที่เกิดจากการหลอมรวมคุณค่าของการกีฬาและวัฒนธรรม เพื่อให้เกิดความสงบสุขของมวลมนุษยชาติ",อ.ดร.ธานินทร์,1,30,,✔,✔,,,,,,
พ22241,เทคโนโลยีสุขภาพ,0.5,1,"การเรียนรู้และฝึกปฏิบัติการนำเทคโนโลยีไปใช้เพื่อส่งเสริม
สุขภาพตนเองและผู้อื่น วิเคราะห์ผลดีผลเสียของการใช้เทคโนโลยีในรูปแบบต่างๆ ที่ส่งผลต่อสุขภาพ การรู้เท่าทันสื่อ การเลือกใช้เทคโนโลยีที่เกี่ยวกับการดูแลหรือส่งเสริมสุขภาพอย่างเหมาะสมกับวัยและการดำเนินชีวิตการศึกษา
แอพพลิเคชั่นต่าง ๆ ที่น่าสนใจและเป็นประโยชน์ต่อสุขภาพ รวมถึงการออกแบบเทคโนโลยีสุขภาพด้วยตนเอง",อ.นวรัตน์,1,30,,,,,,,,✔,
พ22258,แบดมินตันเพื่อความสนุกสนาน,1,2,"ความรู้ทั่วไปเกี่ยวกับประวัติและประโยชน์ของกีฬาแบดมินตัน ระเบียบกติกามารยาทและวิธีการเล่น การจับไม้ ทักษะการตีลูกหน้ามือ-หลังมือ การควบคุมบังคับทิศทางของลูก ทักษะ
การตบลูก การหยอด การตีลูกดาด การส่งลูก ทักษะการเล่นประเภทเดี่ยว ประเภทคู่ และประเภทคู่ผสม โดยมีจุดมุ่งหมายเพื่อให้นักเรียนสามารถนำไปใช้เล่นในเวลาว่างได้",อ.วชิรวิทย์,1,25,,,,,,,,✔,✔
พ22254,บาสเกตบอลพื้นฐาน,1,2,"หลักการและวิธีการเล่น บาสเกตบอล ตามความสามารถของตนเอง เป็นการเคลื่อนไหวที่ใช้ทักษะทางกลไก และทักษะ
พื้นฐานที่นำไปสู่การพัฒนานำหลักความรู้ที่ได้ไปเชื่อมโยงสัมพันธ์กับวิชาอื่น และเลือกเข้าร่วมเล่นกีฬาตามความถนัดได้เต็มความสามารถ พร้อมทั้งมีการประเมินการเล่นของตนและ
ผู้อื่น ปฏิบัติตามกฎ กติกาและการทำงานเป็นทีมอย่างสนุกสนาน การมีน้ำใจนักกีฬา และมีสมรรถภาพทางกายที่ดี",อ.สุพัฒน์พงศ์,1,25,,,,,,✔,✔,,
"กลุ่มสาระการการเรียนรู้ภาษา
ต่างประเทศ",,,,,,,,,,,,,,,,
อ22236,กิจกรรมเพิ่มพูนคำศัพท์ภาษาอังกฤษ 4,0.5,1,"เรียนรู้คำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์
ไปใช้งานในชีวิตประจำวันและตามความสนใจ 
รวมถึงศึกษาองค์ประกอบของคำ คำความหมายคล้าย 
ความหมายตรงกันข้าม",อ.นวล,1,35,,,,✔,,,,,
,,,,,อ.นวล,2,35,,,✔,,,,,,
,,,,,อ.พิทยารัตน์,3,35,,,,,✔,,,,
อ22230,เสริมทักษะการอ่านภาษาอังกฤษ 4,0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิค
การอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจและการอ่านออกเสียงขั้นพื้นฐาน",อ.จารุภัทร,1,35,,✔,,,,,,,
,,,,,อ.จารุภัทร,2,35,,,✔,,,,,,
,,,,,อ.จารุภัทร,3,35,,,,,,,✔,,
อ22232,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 4",0.5,1,ฝึกทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม (context),อ.นวล,1,35,,,,,✔,,,,
,,,,,อ.นวล,2,35,,,,,,✔,,,
อ22228,ไปหาศิลาอาถรรพ์ ,0.5,1,"ศึกษาและฝึกฝนทักษะภาษาอังกฤษอันเป็นพื้นฐานที่นักเรียนสามารถนำไปสื่อสาร ทั้งในชีวิตประจำวันและในชั้นเรียนระดับที่สูงขึ้น โดยเรียนรู้คำศัพท์ สำนวน ประกอบกับทักษะการฟัง พูด อ่าน และเขียนภาษาอังกฤษจากวิดิทัศน์จากภาพยนต์เรื่อง Harry Potter and the Philosopher’s Stone เพื่อมาประยุกต์ใช้ในการเรียนและในชีวิตประจำวัน และใช้ทักษะที่เรียนมา
ไปเป็นเครื่องมือในการสื่อสารเชื่อมโยงความรู้กับศาสตร์อื่น ๆ",อ.พิทยารัตน์,1,35,,,,,,✔,,,
อ22241,เครื่องมือการเรียนรู้ภาษาอังกฤษ,0.5,1,"ศึกษาการระบุปัญหาหรือความต้องการในการเรียนรู้ภาษาอังกฤษ การกำหนดวัตถุประสงค์การเรียนรู้ภาษาอังกฤษ 
การใช้เครื่องมือและทรัพยากรต่าง ๆ ในการพัฒนาและประเมินทักษะภาษาอังกฤษในด้านการฟัง พูด อ่าน และเขียนด้วยตนเอง",อ.กนก ,1,35,,,,,,,✔,,
ญ22216,ภาษาญี่ปุ่นน่ารู้ 4,1,2,"ศึกษาภาษาและวัฒนธรรมญี่ปุ่น ตัวอักษรคันจิ โดยมีรายละเอียด ได้แก่ การเข้าใจคำสั่งหรือคำขอร้องสถานการณ์ต่าง ๆ ในโรงเรียน การพูดขอร้อง การตอบรับหรือปฏิเสธคำขอร้อง การสอบถามเส้นทาง และวิธีการเดินทาง การอธิบายเส้นทาง
ไปยังสถานที่ต่าง ๆ การอธิบายการแต่งกาย รูปร่าง หน้าตา นิสัย งานอดิเรกของคนในครอบครัว เพื่อน หรือสัตว์เลี้ยงให้แก่คนที่ไม่รู้จัก ครบทั้งทักษะการฟัง พูด อ่าน เขียน",อ.ทาเคชิ,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,✔,✔,,,,,,
ฝ22216,ภาษาฝรั่งเศสน่ารู้ 4,1,2,"ศึกษาคำทักทาย คำศัพท์ กลุ่มคำ สำนวนง่าย ๆ ประโยคหรือข้อความสั้น ๆ ง่าย ๆ ในหัวข้อต่าง ๆ ที่พบเจอในชีวิตประจำวัน แนะนำตนเองและผู้อื่นในห้องเรียนและในชีวิตประจำวัน 
ออกเสียงคำ กลุ่มคำ ประโยคและข้อความสั้น ๆ ได้อย่างถูกต้อง  ตลอดจนเข้าใจท่าทางในการสื่อสารตามสถานการณ์ต่าง ๆ เบื้องต้นและเข้าใจวัฒนธรรมของเจ้าของภาษา",อ.วิรัชวิชชา,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,,,,,✔,✔
จ22216,ภาษาจีนน่ารู้ 4,1,2,เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับ การศึกษาต่อในอนาคต,อ.ถาน,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,✔,✔,,,,
อ20225,สนทนาพาเขียนนานาอาชีพ ,0.5,1,"เปิดโลกกว้างการเรียนรู้เกี่ยวกับอาชีพ นักเรียนได้ทำความรู้จักอาชีพหลากหลายประเภทและข้อมูลเจาะลึกของอาชีพนั้น ๆ เรียนรู้ผ่านสื่อวีดิทัศน์ (คลิปวิดีโอ) ทั้งภาษาไทยและภาษาอังกฤษ เพิ่มพูนทักษะการฟังและการพูดแบบง่าย ๆ 
ด้วยกิจกรรมกลุ่มย่อย สามารถใช้ภาษาอังกฤษเพื่อการสื่อสาร แสดงความคิดเห็นง่าย ๆ ได้ ฝึกทักษะการเขียนเบื้องต้นแบบ
ช่วยเหลือกันเป็นกลุ่มใหญ่",อ.อศินา,1,35,ไม่รับนักเรียนโครงการ EP,✔,,,,,,,
,,,,,อ.อศินา,2,35,,,,,,,,,✔
อ22227,ภาษาอังกฤษเมี้ยวเมี้ยว,1,2,เรียนภาษาอังกฤษจากสื่อต่าง ๆ อย่างสร้างสรรค์และสนุกสนาน,อ.อศินา,1,35,,,,✔,✔,,,,
