รายวิชาเพิ่มเติม ม.3  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พฤหัสบดี,,ศุกร์,
ส23232,รู้ทันดิจิทัล,1,2,"ศึกษาความรู้เบื้องต้นเกี่ยวกับความหมาย ความสำคัญ และ
องค์ประกอบของการรู้เท่าทันสื่อ สารสนเทศ และดิจิทัล (Media Information and Digital Literacy)",อ.สรายุทธ,1,35,,,,,,✔,✔,,
ส23234,วิชาพารวย,1,2,ศึกษาเกี่ยวกับคุณค่าและประโยชน์ของเงิน การตั้งเป้าหมายทางการเงิน การวางแผนทางการเงิน,อ.กมลชนก,1,35,,,,,,,,✔,✔
ส23235,มิติเวลาในเหตุการณ์ร่วมสมัย,1,2,ศึกษาความเปลี่ยนแปลงและความต่อเนื่องอันเป็นรากฐานของการศึกษาประวัติศาสตร์ เพื่อทำความเข้าใจความซับซ้อนของเหตุการณ์ร่วมสมัยของมนุษยชาติ ในมิติทางการเมือง เศรษฐกิจ สังคมและวัฒนธรรม และอธิบายปรากฏการณ์ที่เกิดขึ้นอย่างเข้าใจผ่านการอ่านหลักฐานชั้นต้นและงานวิจัยที่เกี่ยวข้อง,อ.พลอยสิริ,1,35,,✔,✔,,,,,,
กลุ่มสาระการการเรียนรู้การงานอาชีพ,,,,,,,,,,,,,,,,
ง23267,รัก(ษ์)ไทย3,1,2,"ศึกษางานประดิษฐ์แบบไทย โดยให้ผู้เรียนฝึกปฏิบัติงานประดิษฐ์แบบไทย ๆ เช่น การทำเครื่องแขวน ""วิมานพระอินทร์"" เป็นต้น",อ.รัชดาวัลย์,1,20,,,,,,,,✔,✔
ง23271,ปรุงดี มีสุข,1,2,ศึกษาความรู้เกี่ยวกับวัตถุดิบ คุณค่าทางอาหาร การประกอบอาหารเบื้องต้น และการปลูกผักเพื่อรับประทานในครัวเรือน พร้อมทั้งฝึกปฏิบัติการประกอบอาหารที่อร่อยและดีต่อสุขภาพ ฝึกทักษะให้ผู้เรียนเสริมสร้างสุขภาพที่ดีและมีความสุข,อ.ดร.อริสา,1,20,,,,,,✔,✔,,
กลุ่มสาระการการเรียนรู้ศิลปะ,,,,,,,,,,,,,,,,
ศ23227,การปฏิบัติดนตรีไทย,1,2,"ศึกษาหลักการปฏิบัติเครื่องดนตรีไทย มุ่งเน้นการปฏิบัติทักษะการบรรเลงดนตรีไทยตามความถนัด ทั้งบรรเลงแบบรายบุคคลและการบรรเลงรวมวง ให้นักเรียนมีความรู้ความเข้าใจใน
ดนตรีไทย ตระหนักถึงคุณค่าดนตรีไทย",อ.สโรชา,1,20,,,,,,✔,✔,,
ศ23231,ศิลปะจินตทัศน์,1,2,ศึกษาและฝึกปฏิบัติการศิลปะจินตทัศน์ 2 และ 3 มิติ บนฐานความคิดสร้างสรรค์ จินตนาการและนำเสนอความคิดสร้างสรรค์ในงาน 2 และ 3 มิติ เช่น จิตรกรรม ประติมากรรม และภาพพิมพ์,อ.อัฐพล,1,20,"มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท",,,✔,✔,,,,
ศ20202,ปฏิบัติการวงโยธวาทิต ม.ต้น 2,1,2,"การปฏิบัติเครื่องดนตรีที่ใช้ในวงโยธวาทิต ประวัติของ
เครื่องดนตรี การจำแนกประเภท และ การบรรเลงเบื้องต้น 
เพื่อให้ผู้เรียนสามารถอ่านโน้ตและปฏิบัติเครื่องดนตรีได้จริง",อ.สุปัฏฐ์,1,10,"เฉพาะนักเรียนวงโยธวาทิต
ที่ผ่าน
การคัดเลือก",,,,,✔,✔,,
ศ20212,ปฏิบัติการวงโยธวาทิต ม.ต้น 4,,,,อ.สุปัฏฐ์,1,10,,,,,,✔,✔,,
ศ20214,ปฏิบัติการวงโยธวาทิต ม.ต้น 6,,,,อ.สุปัฏฐ์,1,10,,,,,,✔,✔,,
ศ20220,ศิลป์สร้างสรรค์ผ่านสีอะคริลิค,1,2,"การสร้างสรรค์งานทัศนศิลป์ด้วยเทคนิคสีอะคริลิค เรียนรู้
คุณสมบัติและวิธีการใช้สื่อสีอะคริลิคอย่างมีประสิทธิภาพ พร้อมทั้งเรียนรู้แนวคิดและแรงบันดาลใจจากผลงานศิลปะต้นแบบ เพื่อนำมาวิเคราะห์และพัฒนาสู่ผลงานของตนเอง",อ.วนาลี,1,6,"มีค่าใช้จ่ายสำหรับอุปกรณ์ 500-1,000 บาท",,,,,✔,✔,,
ศ20218,ศิลปะไทยสร้างสรรค์และการออกแบบ,1,2,"ศึกษา เรียนรู้ ประวัติความเป็นมาของศิลปะไทย ฝึกปฏิบัติงานตามหมวดหมู่ลายไทย ได้แก่ หมวดกระหนก หมวดนารี 
หมวดกระบี่ หมวดคชะ ทั้งในรูปแบบดั้งเดิม และสร้างสรรค์ พร้อมฝึกการประยุกต์ใช้อย่างร่วมสมัย เพื่อให้มีความรู้และเห็นคุณค่าของศิลปะไทย และสามารถนำศิลปะไทยมาใช้ปฏิบัติการในงานศิลปะประเภทต่าง ๆ บนฐานความคิดสร้างสรรค์ได้",อ.อัฐพล,1,6,,,,,,✔,✔,,
ศ20208,ทักษะการเต้นบัลเลต์พื้นฐาน 2,1,2,"ฝึกทักษะพื้นฐานในการเต้นบัลเลต์คลาสสิคและการเต้นร่วมสมัยเบื้องต้น (Modern ballet) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทางบัลเลต์และพื้นฐานการเต้นบัลเลต์ซึ่งเป็น
พื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่น ๆ","อ.ธนิฎฐา / 
อ.ปณิตา",1,7,"นักเรียนควรมีประสบการณ์การเรียน
บัลเลต์
อย่างน้อย
ไม่ต่ำกว่า 5 ปี",,,,,✔,✔,,
"กลุ่มสาระการการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ23232,แบดมินตันเบื้องต้น,1,2,ศึกษาความรู้ทั่วไปเกี่ยวกับประวัติและประโยชน์ของกีฬาแบดมินตัน ระเบียบกติกามารยาทและวิธีการเล่น การจับไม้ ทักษะการตีลูกหน้ามือ-หลังมือ การควบคุมบังคับทิศทางของลูก การตบลูก การหยอด การตีลูกดาด การส่งลูก ทักษะการเล่นประเภทเดี่ยว ประเภทคู่ และประเภทคู่ผสม โดยมีจุดมุ่งหมายเพื่อให้นักเรียนนำไปใช้เล่นในเวลาว่างได้,อ.วชิรวิทย์,1,25,,,,✔,✔,,,,
,,,,,อ.วชิรวิทย์,2,25,,,,,,✔,✔,,
พ23240,การเล่นทีมซอฟท์บอล2,1,2,"ฝึกทักษะและเทคนิคการเป็นฝ่ายรุกในการเล่นกีฬาซอฟท์บอล และเรียนรู้การจัดการและการวางแผนการเล่นใน
กีฬาซอฟท์บอล",อ.สุพัฒน์พงศ์,1,25,,,,,,,,✔,✔
พ23241,นวัตกรรมการฝึกเปตอง,1,2,การฝึกทักษะในการเล่นเปตองในทักษะต่าง ๆ เพื่อพัฒนาทักษะในการเล่นเปตอง ตลอดจนออกแบบรูปแบบ วิธีการฝึกเปตองในทักษะต่าง ๆ  โดยให้นักเรียนร่วมกันวิเคราะห์ สังเคราะห์ และอภิปรายเครื่องมือหรือนวัตกรรมในการฝึกทักษะเปตอง เพื่อให้นักเรียนมีพัฒนาการทักษะเปตองที่ดีขึ้น,อ.พชรพล,1,25,,,,✔,✔,,,,
พ23250,ผู้นำสุขภาพ 2,1,2,"การเป็นผู้นำสุขภาพที่ดีที่มีการศึกษาค้นคว้า สำรวจ วิเคราะห์ และฝึกทักษะชีวิต สุขปฏิบัติ ตลอดจนการคิดค้นออกแบบทดลองจนเป็นนักนวัตกรรมสุขภาพ ผ่านกระบวนการเขียนโครงการและจัดทำอุปกรณ์เกี่ยวกับสุขภาพและการ
ออกกำลังกาย เพื่อจะนำไปใช้ในการพัฒนาตนเองและผู้อื่น เพื่อก่อให้เกิดสุขภาพกายและสุขภาพจิตที่ดีต่อไป",อ.จารุวรรณ,1,35,,✔,✔,,,,,,
"กลุ่มสาระการการเรียนรู้ภาษา
ต่างประเทศ",,,,,,,,,,,,,,,,
อ23236,กิจกรรมเพิ่มพูนคำศัพท์ภาษาอังกฤษ 6,0.5,1,"เรียนรู้คำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์ไปใช้งานในชีวิตประจำวันและตามความสนใจ รวมถึงศึกษา
องค์ประกอบของคำ คำความหมายคล้าย ความหมาย
ตรงกันข้าม",อ.ศศิธร,1,35,,✔,,,,,,,
,,,,,อ.ศศิธร,2,35,,,,,,,,,✔
,,,,,อ.สุดธิดา,3,35,,,,,,✔,,,
อ23230,เสริมทักษะการอ่านภาษาอังกฤษ 6,0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิคการอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ 
โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจและการอ่านออกเสียงขั้นพื้นฐาน",อ.ศศิธร,1,35,,,,,,,,✔,
,,,,,อ.พิทยารัตน์,2,35,,,,,,,,✔,
,,,,,อ.ศศิธร,3,35,,,,,,,✔,,
อ23232,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 6",0.5,1,ฝึกทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม,อ.สุพิสัณห์,1,35,,,,,,,,,✔
,,,,,อ.สุพิสัณห์,2,35,,,✔,,,,,,
อ23238,ภาษาอังกฤษตามอัธยาศัย,0.5,1,"มุ่งเน้นให้นักเรียนพัฒนาทักษะภาษาอังกฤษตามความสนใจเฉพาะบุคคล ผ่านกิจกรรมการเรียนรู้แบบรายบุคคล เช่น 
การอ่าน การฟัง การเขียน การพูด หรือโครงงานภาษาอังกฤษ โดยมีการกำหนดเป้าหมายการเรียนรู้รายบุคคล พร้อมรับคำแนะนำจากอาจารย์ผู้สอนเพื่อเสริมสร้างความมั่นใจและความสามารถในการใช้ภาษาอังกฤษในชีวิตจริงอย่างมีประสิทธิภาพ",อ.ดร.ณัฐมน,1,35,,,,✔,,,,,
อ23286,ภาษาอังกฤษเพื่อการนำเสนอ  ,1,2,เรียนรู้วิธีการนำเสนออย่างมีประสิทธิภาพ รวมถึงวิธีการพูด การใช้วัจนภาษา และอวัจนภาษา,อ.กนก ,1,35,,,,✔,✔,,,,
อ23228,ภาษาสากล ,0.5,1,"ศึกษาการใช้ภาษาอังกฤษในบริบทโลก ชี้ให้เห็นถึง
ความหลากหลายทั้งในรูปแบบของการใช้และวัฒนธรรมการใช้ที่แตกต่างกัน เน้นการสื่อสารถึงกันอย่างเข้าใจมากกว่ายึดติดกับรูปแบบทางภาษาของเจ้าของภาษาผ่านสื่อต่าง ๆ เช่น ภาพยนตร์ เพลง บทความ โฆษณา ฯลฯ",อ.สุดธิดา,1,35,,,,,✔,,,,
,,,,,อ.สุดธิดา,2,35,,,,,,,✔,,
จ23216,ภาษาจีนน่ารู้ 6,1,2,เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับ การศึกษาต่อในอนาคต,อ.ชัญญภัค ,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,,,,,✔,✔
ฝ23216,ภาษาฝรั่งเศสน่ารู้ 6,1,2,เข้าใจและสามารถสื่อสารภาษาฝรั่งเศสผ่านทักษะการฟัง พูด อ่าน และเขียน มีความรู้พื้นฐานเกี่ยวกับภาษาฝรั่งเศส รวมทั้งรู้จักวัฒนธรรมฝรั่งเศส และ สามารถนำมาประยุกต์ใช้ในชีวิตประจำวันได้,อ.วิรัชวิชชา,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,,,,,✔,✔
ญ23216,ภาษาญี่ปุ่นน่ารู้ 6,1,2,"ศึกษาภาษาและวัฒนธรรมญี่ปุ่น การใช้ภาษาพูดและภาษาเขียน จากการผันรูปกริยา คำนาม และคำคุณศัพท์ต่าง ๆ 
การใช้น้ำเสียงสื่อความหมายต่าง ๆ ครบทั้งทักษะการฟัง พูด อ่าน เขียน เพื่อการเตรียมพร้อมสู่การเรียนในกลุ่มการเรียนรู้ภาษาญี่ปุ่นต่อไป",อ.ทาเคชิ,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,✔,✔,,,,,,
ป20216,ภาษาสเปนน่ารู้ 2,1,2,"เรียนรู้การสื่อสาร คำศัพท์ ไวยากรณ์เบื้องต้นของภาษาสเปน
ต่อเนื่องจากวิชาภาษาสเปนน่ารู้ 1 เพื่อเป็นการต่อยอดให้นักเรียนได้มีความรู้และความเชี่ยวชาญในภาษาสเปนและวัฒนธรรมมากขึ้น",อ.เบญจมาศ ,1,8,"ต้องเคยเรียนวิชาภาษาสเปนน่ารู้ 1
มาก่อน",,,,,✔,✔,,
ก23202,เกาหลีซารังแฮโย 2,1,2,เสริมสร้างความรู้ภาษาเกาหลี ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาเกาหลี และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับ การศึกษาต่อในอนาคต,อ.ฮเยริน,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,✔,✔,,,,,,
อ23234,เสริมทักษะนักเรียนความสามารถสูง 6,1,2,ศึกษาการใช้ภาษาอังกฤษในการฟัง -พูด -อ่าน -เขียน ในแง่มุมต่าง ๆ รูปแบบในการใช้ภาษา วิเคราะห์ลักษณะของการพูดที่ดี โครงสร้าง/การเรียบเรียงเนื้อหาในการพูดต่อหน้าที่ประชุม โดยฝึกใช้ภาษาอังกฤษทั้ง 4 ทักษะผ่านกระบวนการเรียนรู้ต่าง ๆ,"New Teacher / 
อ.วราเดช",1,35,เฉพาะนักเรียนกลุ่ม Hi-Ab,✔,,,✔,,,,
กลุ่มกิจกรรมพัฒนาผู้เรียน,,,,,,,,,,,,,,,,
พ23257,กองร้อยพิเศษ 6,1,2,"มุ่งพัฒนาความมีระเบียบวินัย ความเป็นผู้นำ ผู้ตามที่ดี ความรับผิดชอบ การทำงานร่วมกัน การรู้จักแก้ปัญหา การตัดสินใจ
ที่เหมาะสม ความมีเหตุผล การช่วยเหลือ แบ่งปันกัน 
การประนีประนอม เพื่อส่งเสริมให้ผู้เรียนเจริญเติบโตเป็นผู้ใหญ่ที่มีความสมบูรณ์พร้อม",อ.ชวลิต,1,25,,,,,,✔,✔,,
พ23260,ลูกเสือกับการพัฒนาตนเองและสังคม,1,2,มุ่งเน้นให้ผู้เรียนได้เรียนรู้และพัฒนา ทักษะการเป็นผู้นำการทำงานเป็นทีม การบริการสังคมและการพัฒนาตนเองผ่านกิจกรรมลูกเสือ  โดยเน้นการบริการ สังคมและการมีส่วนร่วมในชุมชน ซึ่งผู้เรียนจะได้ฝึกฝนทักษะการแก้ปัญหา การสื่อสารและการทำงานร่วมกับผู้อื่น พร้อมทั้งได้เรียนรู้การดำรงชีวิตในธรรมชาติ,อ.จ.ส.ต.ธยศ ,1,25,,,,✔,✔,,,,
