รายวิชาเพิ่มเติม ม.1  2/2568,,  หมายเหตุ : นักเรียนต้องอ่านเงื่อนไขของบางรายวิชาให้ชัดเจน และห้ามลงทะเบียนเรียนซ้ำในรายวิชาที่เคยเรียนมาแล้วในช่วง ม.1-3,,,,,,,,,,,,,,
รหัสวิชา,ชื่อรายวิชา,นก.,คาบ/สัปดาห์,คำแนะนำรายวิชา,อ.ผู้สอน,กลุ่ม / ตอนเรียน,จำนวนรับ,เงื่อนไขรายวิชา,จันทร์,,อังคาร,,พุธ,,พฤหัสบดี,
ศ20218,ศิลปะไทยสร้างสรรค์และการออกแบบ,1,2,"ศึกษา เรียนรู้ ประวัติความเป็นมาของศิลปะไทย ฝึกปฏิบัติงานตามหมวดหมู่ลายไทย ได้แก่ หมวดกระหนก หมวดนารี หมวดกระบี่ หมวดคชะ ทั้งในรูปแบบดั้งเดิม และสร้างสรรค์ พร้อมฝึกการประยุกต์ใช้อย่างร่วมสมัย เพื่อให้มีความรู้และเห็นคุณค่าของศิลปะไทย และสามารถนำศิลปะไทยมาใช้ปฏิบัติการ
ในงานศิลปะประเภทต่าง ๆ บนฐานความคิดสร้างสรรค์ได้",อ.อัฐพล,1,7,,,,,,,,✔,✔
ศ20208,ทักษะการเต้นบัลเลต์พื้นฐาน 2,1,2,"ฝึกทักษะพื้นฐานในการเต้นบัลเลต์คลาสสิคและการเต้น
ร่วมสมัยเบื้องต้น (Modern ballet) การจัดระเบียบร่างกาย เรียนรู้ศัพท์เทคนิคทางบัลเลต์และพื้นฐานการเต้นบัลเลต์ซึ่งเป็นพื้นฐานที่ดีในการพัฒนาไปสู่การเต้นในรูปแบบอื่น ๆ","อ.ธนิฎฐา / 
อ.ปณิตา",1,7,"นักเรียนควรมีประสบการณ์การเรียน
บัลเลต์
อย่างน้อย
ไม่ต่ำกว่า 5 ปี",,,,,,,✔,✔
"กลุ่มสาระการการเรียนรู้สุขศึกษา
และพลศึกษา",,,,,,,,,,,,,,,,
พ21241,บาสเกตบอลฮาเฮ,1,2,ศึกษาเกี่ยวกับหลักการ วิธีการในการเล่นกีฬาบาสเกตบอล หลักการ รูปแบบการเคลื่อนที่แบบต่าง ๆ ตลอดจนนำหลักการทางวิทยาศาสตร์ไปใช้ในการออกกำลังการและเล่นกีฬาบาสเกตบอล ตามกฎ กติกา ความปลอดภัย กลวิธีการเล่นยอมรับและเห็นคุณค่าของการออกกำลังกายและการเล่นกีฬาบาสเกตบอล,อ.ดร.ฐิติวัสส์,1,25,,,,✔,✔,,,,
พ21236,ว่ายน้ำเบื้องต้น,1,2,"ความรู้ทั่วไปเกี่ยวกับประวัติความเป็นมา ประโยชน์ของการ
ว่ายน้ำ ระเบียบกติกา มารยาท ทักษะการลอยตัว 
การเคลื่อนไหวในน้ำ การมีทักษะพื้นฐานของการว่ายน้ำอย่างถูกต้อง รู้วิธีการฝึกทักษะแบบต่าง ๆ ตามลำดับขั้น สามารถแนะนำผู้อื่นและนำไปใช้ในการออกกำลังกายได้",อ.ดร.ธานินทร์,1,10,,,,,,✔,✔,,
พ21243,แฮนด์บอลเพื่อเจตคติ2,1,2,ศึกษากิจกรรมแฮนด์บอลเพื่อให้นักเรียนพัฒนาการด้านสมรรถภาพทางกาย ทักษะการเคลื่อนไหวของส่วนต่างๆของร่างกาย และทักษะกีฬา มีความรู้ความสามารถในวิธีการเล่นกีฬาแฮนด์บอล การออกกำลังกาย มีคุณธรรมประจำตัว และมีเจตคติที่ดีในการเล่นกีฬา และการออกกำลังกายด้วยการได้ปฏิบัติในกิจกรรมต่างๆในกีฬาแฮนด์บอลด้วยตนเอง,อ.ดร.ฐิติวัสส์,1,25,,,,,,,,✔,✔
พ21258,ฮอกกี้เบื้องต้น,1,2,ลักษณะวิชามุ่งเน้นให้นักเรียนได้ออกกำลังกายผ่านการเล่นกีฬาฮอกกี้ ได้ฝึกทักษะกีฬาฮอกกี้ เรียนรู้กติกาการแข่งขันกีฬาฮอกกี้ สามารถนำทักษะการทำงานร่วมกับผู้อื่นมาปรับใช้ในชีวิตประจำวัน มีสุขภาพกาย และจิตใจที่สมบูรณ์ รู้จักใช้เวลาว่างให้เป็นประโยชน์,อ.ฉฏาธร,1,25,,,,,,✔,✔,,
พ21259,เทเบิลเทนนิสเพื่อการแข่งขัน,1,2,ศึกษาความรู้พื้นฐาน เรื่องการเคลื่อนไหวและทักษะต่าง ๆ ของการเล่นกีฬาเทเบิลเทนนิสตามลำดับขั้นตอนและส่งเสริมให้นักเรียนได้มีประสบการณ์การแข่งขันกีฬาเทเบิลเทนนิส โดยเน้นพัฒนาการตามศักยภาพของแต่ละบุคคล เพื่อให้เข้าใจในแนวทางและมีการเสริมสร้างสมรรถภาพทางกาย มีคุณธรรมในการแข่งขันทั้งการเป็นผู้เล่นและผู้ชมกีฬาเทเบิลเทนนิสที่ดีและเห็นคุณค่านำไปประยุกต์ให้เป็นประโยชน์ในอนาคต,อ.ดร.ชญาภัสร์,1,25,,,,✔,✔,,,,
,,,,,อ.ดร.ชญาภัสร์,2,25,,,,,,,,✔,✔
"กลุ่มสาระการการเรียนรู้ภาษา
ต่างประเทศ",,,,,,,,,,,,,,,,
อ21228,กิจกรรมเพิ่มพูนคำศัพท์ภาษาอังกฤษ 2,0.5,1,"เรียนรู้คำศัพท์ภาษาอังกฤษเพิ่มเติมเป็นหมวดหมู่ตามระดับความสามารถและความสนใจ ผ่านกิจกรรม เกมและการแข่งขันเก็บคะแนนประสบการณ์แต่ละสัปดาห์ เน้นการนำคำศัพท์ไปใช้งานในชีวิตประจำวันและตามความสนใจ รวมถึงศึกษา
องค์ประกอบของคำ คำความหมายคล้าย ความหมาย
ตรงกันข้าม",อ.ดร.ณัฐมน,1,35,,,,,,,✔,,
,,,,,อ.อศินา,2,35,,,,✔,,,,,
,,,,,อ.อศินา,3,35,,✔,,,,,,,
อ21230,เสริมทักษะการอ่านภาษาอังกฤษ 2 ,0.5,1,"พัฒนาทักษะการอ่านภาษาอังกฤษผ่านกลยุทธ์และเทคนิค
การอ่านต่าง ๆ ฝึกอ่านจับใจความและการอ่านเชิงวิเคราะห์ 
โดยนักเรียนสามารถเลือกสื่อการอ่านได้ตามความสามารถของตนเอง ส่งเสริมการอ่านเพื่อความบันเทิงตามหัวข้อที่สนใจและการอ่านออกเสียงขั้นพื้นฐาน",อ.อศินา,1,35,,,,,,,,,✔
,,,,,อ.นวล,2,35,,,✔,,,,,,
,,,,,อ.นวล,3,35,,,,,✔,,,,
อ21232,"ภาษาอังกฤษผ่านสื่อ
โสตทัศน์ 2",0.5,1,ฝึกทักษะการฟัง/การรับชมสื่อภาษาอังกฤษในรูปแบบต่าง ๆ เช่น บทสนทนา รายการโทรทัศน์ Live Show ประกาศต่าง ๆ ภาพยนตร์ การ์ตูน เพลง ข่าว เป็นต้น ฝึกวิเคราะห์การใช้ภาษา คำศัพท์ สำนวนที่ปรากฏในสื่อหลาย ๆ ชนิด รวมไปถึงการเดาความหมายของผู้ส่งสารตามบริบทแวดล้อม (context),อ.ดร.ณัฐมน,1,35,,✔,,,,,,,
,,,,,อ.ดร.ณัฐมน,2,35,,,,,,,,✔,
ญ21216,ภาษาญี่ปุ่นน่ารู้ 2,1,2,เสริมสร้างความรู้ภาษาญี่ปุ่น ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ ในการเรียนภาษาญี่ปุ่น และสามารถนำไปประยุกต์ใช้ เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับ การศึกษาต่อในอนาคต,"อ.ดร.กวิตา / 
อ.ทาเคชิ",1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,✔,✔,,,,,,
ฝ21216,ภาษาฝรั่งเศสน่ารู้ 2,1,2,"เสริมสร้างความรู้ภาษาฝรั่งเศส ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ 
ในการเรียนภาษาฝรั่งเศส และสามารถนำไปประยุกต์ใช้ 
เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสสำหรับการศึกษาต่อในอนาคต",อ.วิรัชวิชชา,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,✔,✔,,,,
ย21216,ภาษาเยอรมันน่ารู้ 2,1,2,"เสริมสร้างความรู้ภาษาเยอรมัน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ 
ในการเรียนภาษาเยอรมัน และสามารถนำไปประยุกต์ใช้ 
เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับการศึกษาต่อในอนาคต",อ.ณัฏฐริญา,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,,,✔,✔,,,,
จ21216,ภาษาจีนน่ารู้ 2,1,2,"เสริมสร้างความรู้ภาษาจีน ทั้งในด้านทักษะการฟัง พูด อ่าน และเขียน เพื่อให้ผู้เรียนเกิดศักยภาพและแรงจูงใจ 
ในการเรียนภาษาจีน และสามารถนำไปประยุกต์ใช้ 
เพื่อเพิ่มทักษะและความสามารถทางด้านภาษาให้แก่ตนเอง และสร้างโอกาสำหรับการศึกษาต่อในอนาคต",อ.ถาน,1,35,ไม่จำเป็นต้องมีพื้นฐานภาษา,✔,✔,,,,,,
ป20216,ภาษาสเปนน่ารู้ 2,1,2,"เรียนรู้การสื่อสาร คำศัพท์ ไวยากรณ์เบื้องต้นของภาษาสเปน
ต่อเนื่องจากวิชาภาษาสเปนน่ารู้ 1 เพื่อเป็นการต่อยอดให้นักเรียนได้มีความรู้และความเชี่ยวชาญในภาษาสเปนและวัฒนธรรมมากขึ้น",อ.เบญจมาศ ,1,9,"ต้องเคยเรียนวิชาภาษาสเปนน่ารู้ 1
มาก่อน",,,,,,,✔,✔
อ21234,เสริมทักษะนักเรียนความสามารถสูง 2,1,2,"เรียนรู้การฟังและอ่านออกเสียงข้อความ นิทาน บทร้อยกรองสั้น ๆ ตามหลักการอ่าน และเปลี่ยนข้อมูลเกียวสถานการณ์
ต่าง ๆ ในชีวิตประจำวัน เข้าร่วมกิจกรรมทางวัฒนธรรมและภาษาตามความสนใจ การสื่อสารในสถานการณ์จริง","New Teacher / 
อ.พิทยารัตน์",1,35,เฉพาะนักเรียนกลุ่ม Hi-Ab,,,✔,✔,,,,
กลุ่มกิจกรรมพัฒนาผู้เรียน,,,,,,,,,,,,,,,,
พ21204,การบันเทิงในกองลูกเสือ,1,2,มุ่งเน้นการพัฒนาผู้เรียน เกิดการละลายพฤติกรรมให้กล้าคิด กล้าทำ กล้าแสดงออก เกิดความสามัคคี มีวินัยในตนเองและเกิดการเรียนรู้อย่างมีความสุข เช่น การร้องเพลง การเล่นเกม การเล่านิทาน การแสดงละคร กิจกรรมเช้าจังหวะ เป็นต้น,อ.จ.ส.ต.ธยศ ,1,25,,,,,,,,✔,✔
